source,date,common_name,species,longitude,latitude
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-18,Snapper,Chrysophrys auratus,152.54643,-32.51973
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-18,Snapper,Chrysophrys auratus,152.55016,-32.5212
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-18,Snapper,Chrysophrys auratus,152.55016,-32.5212
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-18,Snapper,Chrysophrys auratus,152.59947,-32.44311
Reef Life Survey: Global reef fish dataset,2017-04-25,Snapper,Chrysophrys auratus,152.32,-32.63
Reef Life Survey: Global reef fish dataset,2017-04-25,Snapper,Chrysophrys auratus,152.32,-32.63
Reef Life Survey: Global reef fish dataset,2017-04-28,Snapper,Chrysophrys auratus,152.15,-32.71
Fatty acid profiles of marine consumer from the Southern Hemisphere (1990-2018),2017-04-30,Common Coral Trout,Plectropomus leopardus,147.6,-18.6
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-05-01,Common Coral Trout,Plectropomus leopardus,147.08325,-18.6292
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-05-02,Snapper,Chrysophrys auratus,152.49984,-32.57359
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-05-02,Snapper,Chrysophrys auratus,152.5042,-32.57783
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-05-10,Common Coral Trout,Plectropomus leopardus,147.4519,-18.39987
iNaturalist Australia,2017-07-12,Spangled Emperor,Lethrinus nebulosus,152.718163,-24.11552
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-10-16,Common Coral Trout,Plectropomus leopardus,152.2784,-23.74518
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-10-20,Common Coral Trout,Plectropomus leopardus,151.75337,-23.53543
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-11-03,Snapper,Chrysophrys auratus,152.4743,-32.58113
iNaturalist Australia,2017-11-15,Snapper,Chrysophrys auratus,153.146496,-26.617461
iNaturalist Australia,2017-11-17,Snapper,Chrysophrys auratus,153.106499,-26.360496
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-12-13,Common Coral Trout,Plectropomus leopardus,146.11398,-16.65238
iNaturalist Australia,2017-12-26,Snapper,Chrysophrys auratus,144.983316,-37.910343
iNaturalist Australia,2018-01-02,Snapper,Chrysophrys auratus,153.126583,-26.466117
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-01-22,Common Coral Trout,Plectropomus leopardus,152.58765,-21.4287
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-01-26,Common Coral Trout,Plectropomus leopardus,152.4686,-22.00337
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-01-27,Spangled Emperor,Lethrinus nebulosus,152.46347,-22.00395
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-01-29,Common Coral Trout,Plectropomus leopardus,152.5665,-21.46982
Lizard Island Research Station,2018-01-30,Common Coral Trout,Plectropomus leopardus,145.441431,-14.685033
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-01-31,Common Coral Trout,Plectropomus leopardus,152.6529,-21.9903
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-02-26,Common Coral Trout,Plectropomus leopardus,146.88105,-18.47492
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-03-17,Spangled Emperor,Lethrinus nebulosus,150.03278,-20.89943
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-03-19,Spangled Emperor,Lethrinus nebulosus,151.6446,-21.40853
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2018-03-29,Snapper,Chrysophrys auratus,152.4743,-32.58113
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2018-03-29,Snapper,Chrysophrys auratus,152.45605,-32.60397
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2018-03-29,Snapper,Chrysophrys auratus,152.47361,-32.58422
iNaturalist Australia,2018-03-30,Spangled Emperor,Lethrinus nebulosus,151.297173,-33.800243
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2018-04-09,Snapper,Chrysophrys auratus,152.60367,-32.46513
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2018-04-09,Snapper,Chrysophrys auratus,152.60367,-32.46513
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2018-04-09,Snapper,Chrysophrys auratus,152.60367,-32.46513
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-04-19,Common Coral Trout,Plectropomus leopardus,147.00477,-18.46287
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-04-28,Common Coral Trout,Plectropomus leopardus,147.55398,-18.73237
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2018-04-28,Common Coral Trout,Plectropomus leopardus,147.72365,-18.66045
iNaturalist Australia,2018-05-09,Snapper,Chrysophrys auratus,152.151111,-32.715
iNaturalist Australia,2018-05-11,Spangled Emperor,Lethrinus nebulosus,153.429565,-27.92162
iNaturalist Australia,2018-07-15,Common Coral Trout,Plectropomus leopardus,152.712035,-24.110551
iNaturalist Australia,2018-10-17,Snapper,Chrysophrys auratus,151.3075,-33.7387
iNaturalist Australia,2018-11-24,Snapper,Chrysophrys auratus,152.151632,-32.714448
iNaturalist Australia,2018-12-08,Snapper,Chrysophrys auratus,152.150693,-32.714144
iNaturalist Australia,2019-01-05,Snapper,Chrysophrys auratus,144.984477,-37.925072
iNaturalist Australia,2019-01-12,Spangled Emperor,Lethrinus nebulosus,151.295493,-33.799146
iNaturalist Australia,2019-02-14,Snapper,Chrysophrys auratus,151.157835,-34.070179
iNaturalist Australia,2019-03-13,Snapper,Chrysophrys auratus,150.736488,-34.907482
iNaturalist Australia,2019-04-11,Snapper,Chrysophrys auratus,151.15811,-34.070288
iNaturalist Australia,2019-04-26,Snapper,Chrysophrys auratus,151.129854,-34.069425
iNaturalist Australia,2019-05-07,Snapper,Chrysophrys auratus,151.130072,-34.069029
iNaturalist Australia,2019-05-18,Snapper,Chrysophrys auratus,151.295332,-33.800374
iNaturalist Australia,2019-06-10,Snapper,Chrysophrys auratus,151.229972,-33.99183
iNaturalist Australia,2019-06-23,Snapper,Chrysophrys auratus,151.130067,-34.069111
iNaturalist Australia,2019-08-02,Snapper,Chrysophrys auratus,153.628561,-28.611482
iNaturalist Australia,2019-08-12,Spangled Emperor,Lethrinus nebulosus,151.295278,-33.800278
iNaturalist Australia,2019-09-03,Spangled Emperor,Lethrinus nebulosus,152.709916,-24.111786
iNaturalist Australia,2019-09-22,Snapper,Chrysophrys auratus,152.912914,-25.292787
iNaturalist Australia,2019-11-23,Snapper,Chrysophrys auratus,152.316931,-32.629577
iNaturalist Australia,2019-12-29,Snapper,Chrysophrys auratus,151.262456,-33.870587
iNaturalist Australia,2020-01-24,Snapper,Chrysophrys auratus,152.151247,-32.713996
iNaturalist Australia,2020-02-01,Snapper,Chrysophrys auratus,144.823057,-38.36555
iNaturalist Australia,2020-02-01,Snapper,Chrysophrys auratus,144.822748,-38.367996
iNaturalist Australia,2020-03-08,Snapper,Chrysophrys auratus,144.615985,-38.293199
iNaturalist Australia,2020-04-12,Snapper,Chrysophrys auratus,151.640453,-33.085837
iNaturalist Australia,2020-05-31,Snapper,Chrysophrys auratus,151.232161,-33.992166
iNaturalist Australia,2020-06-05,Spangled Emperor,Lethrinus nebulosus,151.295127,-33.79998
iNaturalist Australia,2020-06-09,Snapper,Chrysophrys auratus,151.296122,-33.799565
iNaturalist Australia,2020-06-26,Snapper,Chrysophrys auratus,151.129877,-34.068895
iNaturalist Australia,2020-08-29,Snapper,Chrysophrys auratus,151.297188,-33.799019
Lizard Island Research Station,2020-08-31,Common Coral Trout,Plectropomus leopardus,145.441559,-14.692373
iNaturalist Australia,2020-09-05,Snapper,Chrysophrys auratus,151.230247,-33.991698
iNaturalist Australia,2020-09-07,Snapper,Chrysophrys auratus,151.130324,-34.067893
iNaturalist Australia,2020-09-26,Spangled Emperor,Lethrinus nebulosus,151.294111,-33.800349
iNaturalist Australia,2020-10-10,Snapper,Chrysophrys auratus,145.083946,-38.011432
Earth Guardians Weekly Feed,2020-10-13,Snapper,Chrysophrys auratus,150.9,-34.7
iNaturalist Australia,2020-11-19,Snapper,Chrysophrys auratus,144.984991,-37.926218
iNaturalist Australia,2020-12-19,Snapper,Chrysophrys auratus,151.215221,-34.00333
iNaturalist Australia,2021-01-19,Snapper,Chrysophrys auratus,151.13,-34.06908
iNaturalist Australia,2021-01-22,Snapper,Chrysophrys auratus,144.991558,-37.931878
iNaturalist Australia,2021-01-23,Snapper,Chrysophrys auratus,152.323982,-32.598487
iNaturalist Australia,2021-03-01,Snapper,Chrysophrys auratus,151.129764,-34.069105
iNaturalist Australia,2021-03-03,Spangled Emperor,Lethrinus nebulosus,159.067848,-31.517789
Victorian Biodiversity Atlas,2021-04-01,Snapper,Chrysophrys auratus,144.9101,-37.8013
iNaturalist Australia,2021-04-19,Snapper,Chrysophrys auratus,151.225838,-34.002625
iNaturalist Australia,2021-04-22,Spangled Emperor,Lethrinus nebulosus,151.296223,-33.799305
iNaturalist Australia,2021-04-23,Snapper,Chrysophrys auratus,151.157741,-34.071435
iNaturalist Australia,2021-06-15,Snapper,Chrysophrys auratus,151.295013,-33.80045
iNaturalist Australia,2021-07-21,Snapper,Chrysophrys auratus,153.401994,-27.503936
iNaturalist Australia,2021-08-19,Spangled Emperor,Lethrinus nebulosus,147.62,-19.3044
iNaturalist Australia,2021-08-22,Snapper,Chrysophrys auratus,151.293276,-33.798986
iNaturalist Australia,2021-08-23,Snapper,Chrysophrys auratus,151.130164,-34.068387
iNaturalist Australia,2021-10-10,Snapper,Chrysophrys auratus,151.229972,-33.99183
iNaturalist Australia,2021-10-16,Snapper,Chrysophrys auratus,151.295332,-33.800374
iNaturalist Australia,2021-10-20,Snapper,Chrysophrys auratus,151.295325,-33.800158
iNaturalist Australia,2021-11-18,Snapper,Chrysophrys auratus,151.296409,-33.800273
iNaturalist Australia,2021-11-20,Snapper,Chrysophrys auratus,152.316236,-32.629556
iNaturalist Australia,2021-12-17,Snapper,Chrysophrys auratus,151.158043,-34.071021
iNaturalist Australia,2021-12-17,Snapper,Chrysophrys auratus,144.991857,-37.932256
